Date,TSLA.O (TRDPRC_1),Change in TSLA,QQQ.O (TRDPRC_1),Change in QQQ,VOO (TRDPRC_1),Change in VOO,Excess Return (QQQ),Excess Return (VOO),Labels(QQQ),Labels(VOO)
28/4/2021,231.47,,338.82,,383.56,,,,,
29/4/2021,225.67,-2.50572%,340.04,0.36007%,386.12,0.66743%,-2.86580%,-3.17316%,Significant Decrease,Significant Decrease
30/4/2021,236.48,4.79018%,337.81,-0.65581%,383.57,-0.66042%,5.44599%,5.45060%,Significant Increase,Significant Increase
03/5/2021,228.3,-3.45907%,336.01,-0.53284%,384.44,0.22682%,-2.92622%,-3.68588%,Significant Decrease,Significant Decrease
04/5/2021,224.53,-1.65134%,329.97,-1.79757%,382.1,-0.60868%,0.14623%,-1.04266%,Slight Increase,Slight Decrease
05/5/2021,223.65,-0.39193%,328.86,-0.33639%,382.17,0.01832%,-0.05554%,-0.41025%,Slight Decrease,Slight Decrease
06/5/2021,221.18,-1.10440%,331.34,0.75412%,385.28,0.81377%,-1.85852%,-1.91818%,Significant Decrease,Significant Decrease
07/5/2021,224.12,1.32923%,334.02,0.80884%,388.03,0.71377%,0.52040%,0.61547%,Slight Increase,Slight Increase
10/5/2021,209.68,-6.44298%,325.59,-2.52380%,384.23,-0.97931%,-3.91918%,-5.46367%,Significant Decrease,Significant Decrease
11/5/2021,205.73,-1.88382%,325.14,-0.13821%,380.86,-0.87708%,-1.74561%,-1.00674%,Significant Decrease,Slight Decrease
12/5/2021,196.63,-4.42327%,316.72,-2.58965%,372.73,-2.13464%,-1.83362%,-2.28863%,Significant Decrease,Significant Decrease
13/5/2021,190.56,-3.08702%,319.17,0.77355%,377.16,1.18853%,-3.86057%,-4.27554%,Significant Decrease,Significant Decrease
14/5/2021,196.58,3.15911%,326.22,2.20885%,382.95,1.53516%,0.95026%,1.62395%,Slight Increase,Significant Increase
17/5/2021,192.28,-2.18740%,324.24,-0.60695%,382.03,-0.24024%,-1.58045%,-1.94716%,Significant Decrease,Significant Decrease
18/5/2021,192.62,0.17683%,322.05,-0.67543%,378.73,-0.86381%,0.85225%,1.04063%,Slight Increase,Slight Increase
19/5/2021,187.82,-2.49195%,322.42,0.11489%,377.73,-0.26404%,-2.60684%,-2.22791%,Significant Decrease,Significant Decrease
20/5/2021,195.59,4.13694%,328.66,1.93536%,381.76,1.06690%,2.20158%,3.07004%,Significant Increase,Significant Increase
21/5/2021,193.63,-1.00210%,326.84,-0.55376%,381.47,-0.07596%,-0.44833%,-0.92613%,Slight Decrease,Slight Decrease
24/5/2021,202.15,4.40014%,332.34,1.68278%,385.32,1.00925%,2.71736%,3.39089%,Significant Increase,Significant Increase
25/5/2021,201.56,-0.29186%,332.8,0.13841%,384.51,-0.21021%,-0.43027%,-0.08165%,Slight Decrease,Slight Decrease
26/5/2021,206.38,2.39135%,333.95,0.34555%,385.21,0.18205%,2.04579%,2.20930%,Significant Increase,Significant Increase
27/5/2021,210.28,1.88972%,332.71,-0.37131%,385.38,0.04413%,2.26103%,1.84559%,Significant Increase,Significant Increase
28/5/2021,208.41,-0.88929%,333.75,0.31258%,386.13,0.19461%,-1.20188%,-1.08390%,Slight Decrease,Slight Decrease
